3123502;Douradoquara;0,698
3123528;Durandé;0,593
3123601;Elói Mendes;0,726
3123700;Engenheiro Caldas;0,552
3123809;Engenheiro Navarro;0,594
3123858;Entre Folhas;0,597
3123908;Entre Rios de Minas;0,633
3124005;Ervália;0,603
3124104;Esmeraldas;0,497
3124203;Espera Feliz;0,578
3124302;Espinosa;0,565
3124401;Espírito Santo do Dourado;0,620
3124500;Estiva;0,558
3124609;Estrela D' Alva;0,621
3124708;Estrela do Indaiá;0,537
3124807;Estrela do Sul;0,543
3124906;Eugenópolis;0,586
3125002;Ewbank da Câmara;0,570
3125101;Extrema;0,722
3125200;Fama;0,620
3125309;Faria Lemos;0,507
3125408;Felício dos Santos;0,594
3125606;Felisburgo;0,574
3125705;Felixlândia;0,517
3125804;Fernandes Tourinho;0,512
3125903;Ferros;0,567
3125952;Fervedouro;0,570
3126000;Florestal;0,625
3126109;Formiga;0,667
3126208;Formoso;0,535
3126307;Fortaleza de Minas;0,639
3126406;Fortuna de Minas;0,596
3126505;Francisco Badaró;0,559
3126604;Francisco Dumont;0,518
3126752;Franciscópolis;0,564
3126703;Francisco Sá;0,564
3126802;Frei Gaspar;0,587
3126901;Frei Inocêncio;0,480
3126950;Frei Lagonegro;0,569
3127008;Fronteira;0,598
3127057;Fronteira dos Vales;0,566
3127073;Fruta de Leite;0,480
3127107;Frutal;0,625
3127206;Funilândia;0,542
3127305;Galiléia;0,460
3127339;Gameleiras;0,517
3127354;Glaucilândia;0,653
3127370;Goiabeira;0,633
3127388;Goianá;0,683
3127404;Gonçalves;0,704
3127503;Gonzaga;0,564
3127602;Gouveia;0,601
3127701;Governador Valadares;0,676
3127800;Grão Mogol;0,553
3127909;Grupiara;0,586
3128006;Guanhães;0,666
3128105;Guapé;0,627
3128204;Guaraciaba;0,583
3128253;Guaraciama;0,496
3128303;Guaranésia;0,645
3128402;Guarani;0,630
3128501;Guarará;0,626
3128600;Guarda-Mor;0,603
3128709;Guaxupé;0,637
